name_orig	base_name	year_month	site	type	rep	dilution
Aug16_EMBlank	1608_BLNK_EMB_1	1608	BLNK	EMB	1	1
Jun16_EMBlank1	1605_BLNK_EMB_1	1605	BLNK	EMB	1	1
Jun16_EMBlank2	1605_BLNK_EMB_2	1605	BLNK	EMB	2	1
Apr16_20160427_EM_Blank1	1604_BLNK_EMB_1	1604	BLNK	EMB	1	1
Apr16_20160427_EM_Blank2	1604_BLNK_EMB_2	1604	BLNK	EMB	2	1
Apr16_20160427_EM_Blank3	1604_BLNK_EMB_3	1604	BLNK	EMB	3	1
Mar16_EMBlank1	1603_BLNK_EMB_1	1603	BLNK	EMB	1	1
Mar16_EMBlank2	1603_BLNK_EMB_2	1603	BLNK	EMB	2	1
Mar16_EMBlank3	1603_BLNK_EMB_3	1603	BLNK	EMB	3	1
Jun16_emeldleaf	1605_ELD_EML_1	1605	ELDC	EML	1	0.033333333
Mar16_ElderSoil1	1603_ELDC_EMD_1	1603	ELDC	EMD	1	1
Mar16_ElderLit1	1603_ELDC_EML_1	1603	ELDC	EML	1	1
Mar16_ElderLit2	1603_ELDC_EML_2	1603	ELDC	EML	2	0.133333333
Apr16_EMEldSoil	1604_ELDC_EMD_1	1604	ELDC	EMD	1	1
Apr16_EMEldLeaves	1604_ELDC_EML_1	1604	ELDC	EML	1	0.166666667
Apr16_EMEldPeri2	1604_ELDC_EMP_2	1604	ELDC	EMP	2	1
Apr16_EMEldSed	1604_ELDC_EMS_1	1604	ELDC	EMS	1	1
Jun16_EMEldSoil	1605_ELDC_EMD_1	1605	ELDC	EMD	1	0.333333333
Jun16_EMEldperi	1605_ELDC_EMP_1	1605	ELDC	EMP	1	1
Jun16_EMEldSed	1605_ELDC_EMS_1	1605	ELDC	EMS	1	1
Jul16_EmEldPeri	1607_ELDC_EMP_1	1607	ELDC	EMP	1	0.333333333
Aug16_EMElderPeri	1608_ELDC_EMP_1	1608	ELDC	EMP	1	0.166666667
Aug16_EMElderLeaves	1608_ELDC_EML_1	1608	ELDC	EML	1	0.166666667
Mar16_FoxSoil1	1603_FOXC_EMD_1	1603	FOXC	EMD	1	1
Mar16_FoxSoil2	1603_FOXC_EMD_2	1603	FOXC	EMD	2	1
Mar16_FoxLitter1	1603_FOXC_EML_1	1603	FOXC	EML	1	0.133333333
Mar16_FoxLitter2	1603_FOXC_EML_2	1603	FOXC	EML	2	0.1
Apr16_EMFoxSoil	1604_FOXC_EMD_1	1604	FOXC	EMD	1	1
Apr16_EMFoxLeaves	1604_FOXC_EML_1	1604	FOXC	EML	1	0.333333333
