ex	em	z
600	212.423	0
600	213.993	0
600	215.563	0
600	217.134	0
600	218.706	0
600	220.279	0
600	221.852	0
600	223.426	0
600	225	0
600	226.576	0
600	228.152	0
600	229.728	0
600	231.305	0
600	232.883	0
600	234.462	0
600	236.042	0
600	237.622	0
600	239.202	0
600	240.784	0
600	242.366	0
600	243.948	0
600	245.532	0
600	247.116	0
600	248.701	0
600	250.286	0
600	251.872	0
600	253.459	0
600	255.046	0
600	256.634	0
600	258.223	0
600	259.812	0
600	261.402	0
600	262.993	0
600	264.584	0
600	266.176	0
600	267.769	0
600	269.362	0
600	270.956	0
600	272.551	0
600	274.146	0
600	275.742	0
600	277.338	0
600	278.935	0
600	280.533	0
600	282.131	0
600	283.73	0
600	285.33	0
600	286.93	0
600	288.531	0
600	290.132	0
600	291.735	0
600	293.337	0
600	294.941	0
600	296.545	0
600	298.149	0
600	299.754	0
600	301.36	0
600	302.966	0
600	304.573	0
600	306.181	0
600	307.789	0
600	309.398	0
600	311.007	0
600	312.617	0
600	314.228	0
600	315.839	0
600	317.451	0
600	319.063	0
600	320.676	0
600	322.29	0
600	323.904	0
600	325.519	0
600	327.134	0
600	328.75	0
600	330.366	0
600	331.983	0
600	333.601	0
600	335.219	0
600	336.838	0
600	338.457	0
600	340.077	0
600	341.697	0
600	343.318	0
600	344.94	0
600	346.562	0
600	348.185	0
600	349.808	0
600	351.432	0
600	353.056	0
600	354.681	0
600	356.306	0
600	357.932	0
600	359.558	0
600	361.185	0
600	362.813	0
600	364.441	0
600	366.07	0
600	367.699	0
600	369.328	0
600	370.959	0
600	372.589	0
600	374.221	0
600	375.852	0
600	377.485	0
600	379.117	0
600	380.751	0
600	382.384	0
600	384.019	0
600	385.654	0
600	387.289	0
600	388.925	0
600	390.561	0
600	392.198	0
600	393.835	0
600	395.473	0
600	397.111	0
600	398.75	0
600	400.39	0
600	402.029	0
600	403.67	0
600	405.31	0
600	406.951	0
600	408.593	0
600	410.235	0
600	411.878	0
600	413.521	0
600	415.165	0
600	416.809	0
600	418.453	0
600	420.098	0
600	421.744	0
600	423.39	0
600	425.036	0
600	426.683	0
600	428.33	0
600	429.978	0
600	431.626	0
600	433.274	0
600	434.923	0
600	436.573	0
600	438.223	0
600	439.873	0
600	441.524	0
600	443.175	0
600	444.827	0
600	446.479	0
600	448.131	0
600	449.784	0
600	451.437	0
600	453.091	0
600	454.745	0
600	456.4	0
600	458.055	0
600	459.71	0
600	461.366	0
600	463.022	0
600	464.678	0
600	466.335	0
600	467.993	0
600	469.651	0
600	471.309	0
600	472.967	0
600	474.626	0
600	476.285	0
600	477.945	0
600	479.605	0
600	481.265	0
600	482.926	0
600	484.587	0
600	486.249	0
600	487.911	0
600	489.573	0
600	491.236	0
600	492.899	0
600	494.562	0
600	496.226	0
600	497.89	0
600	499.554	0
600	501.219	0
600	502.884	0
600	504.549	0
600	506.215	0
600	507.881	0
600	509.548	0
600	511.214	0
600	512.881	0
600	514.549	0
600	516.217	0
600	517.885	0
600	519.553	0
600	521.222	0
600	522.891	0
600	524.56	0
600	526.23	0
600	527.9	0
600	529.57	0
600	531.24	0
600	532.911	0
600	534.582	0
600	536.254	0
600	537.925	0
600	539.597	0
600	541.27	0
600	542.942	0
600	544.615	0
600	546.288	0
600	547.961	0
600	549.635	0
600	551.309	0
600	552.983	0
600	554.658	0
600	556.332	0
600	558.007	0
600	559.683	0
600	561.358	0
600	563.034	0
600	564.71	0
600	566.386	0
600	568.063	0
600	569.739	0
600	571.416	0
600	573.093	0
600	574.771	0
600	576.448	0
600	578.126	0
600	579.804	0
600	581.483	0
600	583.161	0
600	584.84	0
600	586.519	0
600	588.198	0
600	589.878	0
600	591.557	0
600	593.237	0
600	594.917	0
600	596.597	0
600	598.277	0
600	599.958	0
600	601.639	0
600	603.32	0
600	605.001	0
600	606.682	0
600	608.364	0
600	610.045	0
600	611.727	0
600	613.409	0.00439718998225746
600	615.091	0.0115519821521769
600	616.774	0.00663685679338763
600	618.456	0.00125794725496231
600	620.139	0.00421454014254193
599	212.423	0
599	213.993	0
599	215.563	0
599	217.134	0
599	218.706	0
599	220.279	0
599	221.852	0
599	223.426	0
599	225	0
599	226.576	0
599	228.152	0
599	229.728	0
599	231.305	0
599	232.883	0
599	234.462	0
599	236.042	0
599	237.622	0
599	239.202	0
599	240.784	0
599	242.366	0
599	243.948	0
599	245.532	0
599	247.116	0
599	248.701	0
599	250.286	0
599	251.872	0
599	253.459	0
599	255.046	0
599	256.634	0
599	258.223	0
599	259.812	0
599	261.402	0
599	262.993	0
599	264.584	0
599	266.176	0
599	267.769	0
599	269.362	0
599	270.956	0
599	272.551	0
599	274.146	0
599	275.742	0
599	277.338	0
599	278.935	0
599	280.533	0
599	282.131	0
599	283.73	0
599	285.33	0
599	286.93	0
599	288.531	0
599	290.132	0
599	291.735	0
599	293.337	0
599	294.941	0
599	296.545	0
599	298.149	0
599	299.754	0
599	301.36	0
599	302.966	0
599	304.573	0
599	306.181	0
599	307.789	0
599	309.398	0
599	311.007	0
599	312.617	0
599	314.228	0
599	315.839	0
599	317.451	0
599	319.063	0
599	320.676	0
599	322.29	0
599	323.904	0
599	325.519	0
599	327.134	0
599	328.75	0
599	330.366	0
599	331.983	0
599	333.601	0
599	335.219	0
599	336.838	0
599	338.457	0
599	340.077	0
599	341.697	0
599	343.318	0
599	344.94	0
599	346.562	0
599	348.185	0
599	349.808	0
599	351.432	0
599	353.056	0
599	354.681	0
599	356.306	0
599	357.932	0
599	359.558	0
599	361.185	0
599	362.813	0
599	364.441	0
599	366.07	0
599	367.699	0
599	369.328	0
599	370.959	0
599	372.589	0
599	374.221	0
599	375.852	0
599	377.485	0
599	379.117	0
599	380.751	0
599	382.384	0
599	384.019	0
599	385.654	0
599	387.289	0
599	388.925	0
599	390.561	0
599	392.198	0
599	393.835	0
599	395.473	0
599	397.111	0
599	398.75	0
599	400.39	0
599	402.029	0
599	403.67	0
599	405.31	0
599	406.951	0
599	408.593	0
599	410.235	0
599	411.878	0
599	413.521	0
599	415.165	0
599	416.809	0
599	418.453	0
599	420.098	0
599	421.744	0
