sampleID	em.uq
1603_ELDC_SMP_1	212.423
1603_ELDC_SMP_1	213.993
1603_ELDC_SMP_1	215.563
1603_ELDC_SMP_1	217.134
1603_ELDC_SMP_1	218.706
1603_ELDC_SMP_1	220.279
1603_ELDC_SMP_1	221.852
1603_ELDC_SMP_1	223.426
1603_ELDC_SMP_1	225
1603_ELDC_SMP_1	226.576
1603_ELDC_SMP_1	228.152
1603_ELDC_SMP_1	229.728
1603_ELDC_SMP_1	231.305
1603_ELDC_SMP_1	232.883
1603_ELDC_SMP_1	234.462
1603_ELDC_SMP_1	236.042
1603_ELDC_SMP_1	237.622
1603_ELDC_SMP_1	239.202
1603_ELDC_SMP_1	240.784
1603_ELDC_SMP_1	242.366
1603_ELDC_SMP_1	243.948
1603_ELDC_SMP_1	245.532
1603_ELDC_SMP_1	247.116
1603_ELDC_SMP_1	248.701
1603_ELDC_SMP_1	250.286
1603_ELDC_SMP_1	251.872
1603_ELDC_SMP_1	253.459
1603_ELDC_SMP_1	255.046
1603_ELDC_SMP_1	256.634
1603_ELDC_SMP_1	258.223
1603_ELDC_SMP_1	259.812
1603_ELDC_SMP_1	261.402
1603_ELDC_SMP_1	262.993
1603_ELDC_SMP_1	264.584
1603_ELDC_SMP_1	266.176
1603_ELDC_SMP_1	267.769
1603_ELDC_SMP_1	269.362
1603_ELDC_SMP_1	270.956
1603_ELDC_SMP_1	272.551
1603_ELDC_SMP_1	274.146
1603_ELDC_SMP_1	275.742
1603_ELDC_SMP_1	277.338
1603_ELDC_SMP_1	278.935
1603_ELDC_SMP_1	280.533
1603_ELDC_SMP_1	282.131
1603_ELDC_SMP_1	283.73
1603_ELDC_SMP_1	285.33
1603_ELDC_SMP_1	286.93
1603_ELDC_SMP_1	288.531
1603_ELDC_SMP_1	290.132
1603_ELDC_SMP_1	291.735
1603_ELDC_SMP_1	293.337
1603_ELDC_SMP_1	294.941
1603_ELDC_SMP_1	296.545
1603_ELDC_SMP_1	298.149
1603_ELDC_SMP_1	299.754
1603_ELDC_SMP_1	301.36
1603_ELDC_SMP_1	302.966
1603_ELDC_SMP_1	304.573
1603_ELDC_SMP_1	306.181
1603_ELDC_SMP_1	307.789
1603_ELDC_SMP_1	309.398
1603_ELDC_SMP_1	311.007
1603_ELDC_SMP_1	312.617
1603_ELDC_SMP_1	314.228
1603_ELDC_SMP_1	315.839
1603_ELDC_SMP_1	317.451
1603_ELDC_SMP_1	319.063
1603_ELDC_SMP_1	320.676
1603_ELDC_SMP_1	322.29
1603_ELDC_SMP_1	323.904
1603_ELDC_SMP_1	325.519
1603_ELDC_SMP_1	327.134
1603_ELDC_SMP_1	328.75
1603_ELDC_SMP_1	330.366
1603_ELDC_SMP_1	331.983
1603_ELDC_SMP_1	333.601
1603_ELDC_SMP_1	335.219
1603_ELDC_SMP_1	336.838
1603_ELDC_SMP_1	338.457
1603_ELDC_SMP_1	340.077
1603_ELDC_SMP_1	341.697
1603_ELDC_SMP_1	343.318
1603_ELDC_SMP_1	344.94
1603_ELDC_SMP_1	346.562
1603_ELDC_SMP_1	348.185
1603_ELDC_SMP_1	349.808
1603_ELDC_SMP_1	351.432
1603_ELDC_SMP_1	353.056
1603_ELDC_SMP_1	354.681
1603_ELDC_SMP_1	356.306
1603_ELDC_SMP_1	357.932
1603_ELDC_SMP_1	359.558
1603_ELDC_SMP_1	361.185
1603_ELDC_SMP_1	362.813
1603_ELDC_SMP_1	364.441
1603_ELDC_SMP_1	366.07
1603_ELDC_SMP_1	367.699
1603_ELDC_SMP_1	369.328
1603_ELDC_SMP_1	370.959
1603_ELDC_SMP_1	372.589
1603_ELDC_SMP_1	374.221
1603_ELDC_SMP_1	375.852
1603_ELDC_SMP_1	377.485
1603_ELDC_SMP_1	379.117
1603_ELDC_SMP_1	380.751
1603_ELDC_SMP_1	382.384
1603_ELDC_SMP_1	384.019
1603_ELDC_SMP_1	385.654
1603_ELDC_SMP_1	387.289
1603_ELDC_SMP_1	388.925
1603_ELDC_SMP_1	390.561
1603_ELDC_SMP_1	392.198
1603_ELDC_SMP_1	393.835
1603_ELDC_SMP_1	395.473
1603_ELDC_SMP_1	397.111
1603_ELDC_SMP_1	398.75
1603_ELDC_SMP_1	400.39
1603_ELDC_SMP_1	402.029
1603_ELDC_SMP_1	403.67
1603_ELDC_SMP_1	405.31
1603_ELDC_SMP_1	406.951
1603_ELDC_SMP_1	408.593
1603_ELDC_SMP_1	410.235
1603_ELDC_SMP_1	411.878
1603_ELDC_SMP_1	413.521
1603_ELDC_SMP_1	415.165
1603_ELDC_SMP_1	416.809
1603_ELDC_SMP_1	418.453
1603_ELDC_SMP_1	420.098
1603_ELDC_SMP_1	421.744
1603_ELDC_SMP_1	423.39
1603_ELDC_SMP_1	425.036
1603_ELDC_SMP_1	426.683
1603_ELDC_SMP_1	428.33
1603_ELDC_SMP_1	429.978
1603_ELDC_SMP_1	431.626
1603_ELDC_SMP_1	433.274
1603_ELDC_SMP_1	434.923
1603_ELDC_SMP_1	436.573
1603_ELDC_SMP_1	438.223
1603_ELDC_SMP_1	439.873
1603_ELDC_SMP_1	441.524
1603_ELDC_SMP_1	443.175
1603_ELDC_SMP_1	444.827
1603_ELDC_SMP_1	446.479
1603_ELDC_SMP_1	448.131
1603_ELDC_SMP_1	449.784
1603_ELDC_SMP_1	451.437
1603_ELDC_SMP_1	453.091
1603_ELDC_SMP_1	454.745
1603_ELDC_SMP_1	456.4
1603_ELDC_SMP_1	458.055
1603_ELDC_SMP_1	459.71
1603_ELDC_SMP_1	461.366
1603_ELDC_SMP_1	463.022
1603_ELDC_SMP_1	464.678
1603_ELDC_SMP_1	466.335
1603_ELDC_SMP_1	467.993
1603_ELDC_SMP_1	469.651
1603_ELDC_SMP_1	471.309
1603_ELDC_SMP_1	472.967
1603_ELDC_SMP_1	474.626
1603_ELDC_SMP_1	476.285
1603_ELDC_SMP_1	477.945
1603_ELDC_SMP_1	479.605
1603_ELDC_SMP_1	481.265
1603_ELDC_SMP_1	482.926
1603_ELDC_SMP_1	484.587
1603_ELDC_SMP_1	486.249
1603_ELDC_SMP_1	487.911
1603_ELDC_SMP_1	489.573
1603_ELDC_SMP_1	491.236
1603_ELDC_SMP_1	492.899
1603_ELDC_SMP_1	494.562
1603_ELDC_SMP_1	496.226
1603_ELDC_SMP_1	497.89
1603_ELDC_SMP_1	499.554
1603_ELDC_SMP_1	501.219
1603_ELDC_SMP_1	502.884
1603_ELDC_SMP_1	504.549
1603_ELDC_SMP_1	506.215
1603_ELDC_SMP_1	507.881
1603_ELDC_SMP_1	509.548
1603_ELDC_SMP_1	511.214
1603_ELDC_SMP_1	512.881
1603_ELDC_SMP_1	514.549
1603_ELDC_SMP_1	516.217
1603_ELDC_SMP_1	517.885
1603_ELDC_SMP_1	519.553
1603_ELDC_SMP_1	521.222
1603_ELDC_SMP_1	522.891
1603_ELDC_SMP_1	524.56
1603_ELDC_SMP_1	526.23
1603_ELDC_SMP_1	527.9
1603_ELDC_SMP_1	529.57
1603_ELDC_SMP_1	531.24
1603_ELDC_SMP_1	532.911
1603_ELDC_SMP_1	534.582
1603_ELDC_SMP_1	536.254
1603_ELDC_SMP_1	537.925
1603_ELDC_SMP_1	539.597
1603_ELDC_SMP_1	541.27
1603_ELDC_SMP_1	542.942
1603_ELDC_SMP_1	544.615
1603_ELDC_SMP_1	546.288
1603_ELDC_SMP_1	547.961
1603_ELDC_SMP_1	549.635
1603_ELDC_SMP_1	551.309
1603_ELDC_SMP_1	552.983
1603_ELDC_SMP_1	554.658
1603_ELDC_SMP_1	556.332
1603_ELDC_SMP_1	558.007
1603_ELDC_SMP_1	559.683
1603_ELDC_SMP_1	561.358
1603_ELDC_SMP_1	563.034
1603_ELDC_SMP_1	564.71
1603_ELDC_SMP_1	566.386
1603_ELDC_SMP_1	568.063
1603_ELDC_SMP_1	569.739
1603_ELDC_SMP_1	571.416
1603_ELDC_SMP_1	573.093
1603_ELDC_SMP_1	574.771
1603_ELDC_SMP_1	576.448
1603_ELDC_SMP_1	578.126
1603_ELDC_SMP_1	579.804
1603_ELDC_SMP_1	581.483
1603_ELDC_SMP_1	583.161
1603_ELDC_SMP_1	584.84
1603_ELDC_SMP_1	586.519
1603_ELDC_SMP_1	588.198
1603_ELDC_SMP_1	589.878
1603_ELDC_SMP_1	591.557
1603_ELDC_SMP_1	593.237
1603_ELDC_SMP_1	594.917
1603_ELDC_SMP_1	596.597
1603_ELDC_SMP_1	598.277
1603_ELDC_SMP_1	599.958
1603_ELDC_SMP_1	601.639
1603_ELDC_SMP_1	603.32
1603_ELDC_SMP_1	605.001
1603_ELDC_SMP_1	606.682
1603_ELDC_SMP_1	608.364
1603_ELDC_SMP_1	610.045
