Mar16_CCSed1	1603_SFCD_EMS_1
Mar16_Elder2	1603_ELDC_SMP_2
Mar16_ElderD1	1603_ELDC_SMP_1
Mar16_Fox1	1603_FOXC_SMP_1
Mar16_Fox2	1603_FOXC_SMP_2
Mar16_FoxSoil1	1603_FOXC_EMD_1
Mar16_FoxSoil2	1603_FOXC_EMD_2
Mar16_Merg1	1603_SFMG_SMP_1
Mar16_Merg2	1603_SFMG_SMP_2
Mar16_MergScd2	1603_SFMG_EMS_2
Mar16_MergSed1	1603_SFMG_EMS_1
Mar16_MudSoil1	1603_SFMD_EMD_1
Mar16_RedwoodCr1	1603_REDC_SMP_1
Mar16_RedwoodCr2	1603_REDC_SMP_2
Mar16_RedwoodSoil1	1603_REDC_EMD_1
Mar16_RedwoodSoil2	1603_REDC_EMD_2
Mar16_SFMud1	1603_SFMD_SMP_1
Mar16_SFP1	1603_SFPR_SMP_1
Mar16_SFSC1	1603_SFSI_SMP_1
Mar16_EMBlank1	1603_BLNK_EMB_1
Mar16_EMBlank2	1603_BLNK_EMB_2
Mar16_EMBlank3	1603_BLNK_EMB_3
Mar16_ElderLit1	1603_ELDC_EML_1
Mar16_ElderLit2	1603_ELDC_EML_2
Mar16_ElderSoil1	1603_ELDC_EMD_1
Mar16_FoxLitter1	1603_FOXC_EML_1
Mar16_FoxLitter2	1603_FOXC_EML_2
Mar16_MergLitter1	1603_SFMG_EML_1
Mar16_MergLitter2	1603_SFMG_EML_2
Mar16_RedwoodLit1	1603_REDC_EML_1
Mar16_RedwoodLit2	1603_REDC_EML_2
Mar16_SFCCsed2	1603_SFCD_EMS_2
Mar16_SFMud2	1603_SFMD_SMP_2
Mar16_SFMudLit1	1603_SFMD_EML_1
Mar16_SFMudLit2	1603_SFMD_EML_2
Mar16_SFSC2	1603_SFSI_SMP_2
Apr16_Elder1	1604_ELDC_SMP_1
Apr16_Elder2	1604_ELDC_SMP_2
Apr16_Fox1	1604_FOXC_SMP_1
Apr16_Fox2	1604_FOXC_SMP_2
Apr16_Merg1	1604_SFMG_SMP_1
Apr16_Merg2	1604_SFMG_SMP_2
Apr16_Redwood2	1604_REDC_SMP_2
Apr16_SFCed1	1604_SFCD_SMP_1
Apr16_SFCedar2	1604_SFCD_SMP_2
